Country,Year,Feeling of happiness: Quite or very happy,Attend religious services: once a month or more,Number of children (mean),Religious person,Importance of god in life (mean),Religious faith is important for children,Thinks often or sometimes about meaning and purpose of life,Tolerance and respect for other people is important for children
Argentina,2010-2014,86.4,35.9,1.79,67.8,7.48,23.2,61.1,58.2
Australia,2010-2014,92.6,16.9,1.66,41.3,5.07,15.2,77.9,86.3
Belarus,2010-2014,63.7,21.5,1.27,62.2,6.51,14.4,74.6,60.7
Brazil,2010-2014,92,65,1.97,79.7,9.5,49.8,79.9,64.2
Canada,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
Chile,2010-2014,84.5,36.6,1.92,50.3,8.23,27.5,79.7,82
China,2010-2014,84.5,2.9,1.44,12.5,3.47,1.2,50.1,52.2
Czech Republic,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
Finland,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
Germany,2010-2014,84,19.3,1.4,49.5,5.28,12.1,69.9,66.7
Hungary,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
India,2010-2014,87.4,59.2,2.56,88.8,8.42,83.1,61.5,89.3
Japan,2010-2014,86.5,10.9,1.57,20.9,4.88,4.4,79.3,64.6
Mexico,2010-2014,94.3,62.2,2.26,74.2,9.37,35.3,80.7,77.9
Netherlands,2010-2014,92.4,16.4,1.61,43.8,4.37,13.9,71.4,86
New Zealand,2010-2014,92.4,18.8,2.15,42.7,5.39,15.9,76.1,83.1
Nigeria,2010-2014,84.7,90.6,1.83,95.9,9.02,72.7,92.4,59.8
Poland,2010-2014,92.6,67.2,1.64,86.2,7.95,39.5,70,82.6
Qatar,2010-2014,98,-100,3.02,93.8,9.74,84.7,89.3,76.9
Romania,2010-2014,69,43.1,1.49,81.4,8.93,51.7,82.8,65.2
Russian Federation,2010-2014,73.3,13.3,1.27,53.1,6.68,13.9,71.1,63.5
Slovakia,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
South Africa,2010-2014,76.4,69,1.48,80,8.06,25,73.3,52.5
South Korea,2010-2014,90,35.7,1.58,32.5,5.37,44.3,89.8,40.8
Spain,2010-2014,86.4,19.2,1.43,40,5.1,10.6,64.9,74.1
Sweden,2010-2014,94.6,9.1,1.44,31.2,3.65,4.4,69,87
Switzerland,2010-2014,-100,-100,-100,-100,-100,-100,-100,-100
Tunisia,2010-2014,79.3,45.6,1.67,65.1,9.74,76.1,76.2,54.9
Turkey,2010-2014,83.8,37.2,1.84,83.5,9.26,39.7,88.5,61.4
United States,2010-2014,89.6,43,1.69,67,7.77,43.1,77.8,71.8
